EV,LA
0,-90
1,-89
2,-88
3,-87
4,-86
5,-85
6,-84
7,-83
8,-82
9,-81
10,-80
11,-79
12,-78
13,-77
14,-76
15,-75
16,-74
17,-73
18,-72
19,-71
20,-70
21,-69
22,-68
23,-67
24,-66
25,-65
26,-64
27,-63
28,-62
29,-61
30,-60
31,-59
32,-58
33,-57
34,-56
35,-55
36,-54
37,-53
38,-52
39,-51
40,-50
41,-49
42,-48
43,-47
44,-46
45,-45
46,-44
47,-43
48,-42
49,-41
50,-40
51,-39
52,-38
53,-37
54,-36
55,-35
56,-34
57,-33
58,-32
59,-31
60,-30
61,-29
62,-28
63,-27
64,-26
65,-25
66,-24
67,-23
68,-22
69,-21
70,-20
71,-19
72,-18
73,-17
74,-16
75,-15
76,-14
77,-13
78,-12
79,-11
80,-10
81,-9
82,-8
83,-7
84,-6
85,-5
86,-4
87,-3
88,-2
89,-1
90,0
91,1
92,2
93,3
94,4
95,5
96,6
97,7
98,8
99,9
100,10
101,11
102,12
103,13
104,14
105,15
106,16
107,17
108,18
109,19
110,20
111,21
112,22
113,23
114,24
115,25
116,26
117,27
118,28
119,29
120,30
121,31
122,32
123,33
124,34
125,35
126,36
127,37
128,38
129,39
130,40
131,41
132,42
133,43
134,44
135,45
136,46
137,47
138,48
139,49
140,50
141,51
142,52
143,53
144,54
145,55
146,56
147,57
148,58
149,59
150,60
151,61
152,62
153,63
154,64
155,65
156,66
157,67
158,68
159,69
160,70
161,71
162,72
163,73
164,74
165,75
166,76
167,77
168,78
169,79
170,80
171,81
172,82
173,83
174,84
175,85
176,86
177,87
178,88
179,89
